"ST" "YR" "doy" "T" "TMMXI" "TMMNI" "RH" "RAINI" "WNI" "GR"
-99 2018 1 1.1419824218750136 -0.009537353515611358 3.8710473632812636 97.64175415039062 3.735950469970703 4.645777225494385 0.10606631698608399
-99 2018 2 3.2697290039062636 2.4623864746093886 4.221755371093764 96.97801208496094 2.617763042449951 5.169005393981934 0.14310939331054687
-99 2018 3 2.0968774414062636 0.8598474121093886 3.1687158203125136 95.76036071777344 0.9541386365890503 3.929190158843994 0.208772403717041
-99 2018 4 0.8172448730468886 0.34495483398438864 1.3533471679687636 96.75141906738281 1.3267654180526733 5.274981498718262 0.16095132751464844
-99 2018 5 2.5612329101562636 0.32337890625001364 3.2982934570312636 96.91421508789062 5.92685604095459 4.304767608642578 0.1200004280090332
-99 2018 6 0.03672729492188864 -1.9017492675781114 2.0034020996093886 88.74641418457031 1.356265664100647 5.374394416809082 0.18932213287353514
-99 2018 7 -0.9192053222656114 -2.8531347656249864 0.9886010742187636 70.58526611328125 0.6186347603797913 8.543363571166992 0.9019366149902344
-99 2018 8 -0.18910278320311136 -0.9398962402343614 0.9063562011718886 72.05099487304688 0.06822066009044647 6.341469764709473 0.9256082519531249
-99 2018 9 0.5617517089843886 -0.6111303710937364 1.6504968261718886 92.65430450439453 0.003053953405469656 3.641819953918457 0.9572650268554687
-99 2018 10 -3.6952978515624864 -6.064255371093736 -1.4625708007812364 97.81088256835938 0.17876018583774567 0.9545818567276001 0.4353530822753906
-99 2018 11 -5.324600830078111 -6.489029541015611 -2.4250646972656114 96.0794448852539 0.08224334567785263 1.8465073108673096 1.0715209716796874
-99 2018 12 -2.3191992187499864 -2.9560095214843614 -1.5405432128906114 86.03762817382812 0.1628405600786209 2.5527095794677734 0.4431069717407226
-99 2018 13 -1.9571691894531114 -2.6158605957031114 -0.7834936523437364 85.09290313720703 0.286763995885849 2.5079028606414795 0.5730937866210937
-99 2018 14 -3.1480566406249864 -3.7112585449218614 -2.7561804199218614 84.58055114746094 0.20967799425125122 3.9635891914367676 0.8932893310546874
-99 2018 15 -3.9661718749999864 -4.662338867187486 -3.4111791992187364 80.51983642578125 0.4854469299316406 6.950524806976318 0.610808999633789
-99 2018 16 -4.094498291015611 -4.762894287109361 -3.2326513671874864 81.30986022949219 1.224888801574707 9.99083423614502 0.3881734909057617
-99 2018 17 -6.087998046874986 -6.735947265624986 -5.151566162109361 83.62222290039062 1.4851746559143066 6.272837162017822 0.32279281539916993
-99 2018 18 -4.418472900390611 -5.768356933593736 -3.0919958496093614 94.46378326416016 0.36411046981811523 1.8421399593353271 0.4615064071655273
-99 2018 19 -5.642471923828111 -7.434647216796861 -3.3408361816406114 96.24701690673828 0.10371939092874527 1.9268275499343872 1.5306088073730468
-99 2018 20 -7.735581054687486 -8.193375244140611 -6.486069335937486 95.4543685913086 0.07225703448057175 1.7193528413772583 1.0215447692871094
-99 2018 21 -6.769943847656236 -8.959427490234361 -4.149979248046861 91.8135986328125 0.013329868204891682 1.721994161605835 1.6053902709960937
-99 2018 22 -2.8746191406249864 -6.031113281249986 -1.3924719238281114 87.37126159667969 0.374885231256485 3.6759471893310547 1.1844750366210937
-99 2018 23 -4.407089843749986 -8.290939941406236 -0.013748779296861358 84.90684509277344 0.6707639694213867 3.04024076461792 1.2409662414550782
-99 2018 24 1.2141870117187636 -1.1317297363281114 3.1489709472656386 94.26589965820312 9.511616706848145 8.537710189819336 0.2613742835998535
-99 2018 25 3.5538171386718886 3.0158227539062636 4.067183837890639 93.56690979003906 8.544583320617676 9.358644485473633 1.0534135528564452
-99 2018 26 2.4442590332031386 1.4217980957031386 2.9141381835937636 95.79718017578125 0.23993071913719177 4.4417877197265625 1.1070140899658203
-99 2018 27 0.9931787109375136 -0.43751586914061136 1.7657006835937636 97.86372375488281 1.4612071514129639 2.451336145401001 0.3992211776733398
-99 2018 28 -0.13267578124998636 -1.0320898437499864 0.6277917480468886 97.24787902832031 4.003398895263672 4.741395473480225 0.34954976348876954
-99 2018 29 -0.42652954101561136 -1.2531896972656114 0.08937011718751364 94.8721694946289 0.5425409078598022 2.6509037017822266 0.9485491058349609
-99 2018 30 -2.9713293457031114 -4.816605224609361 -1.4228979492187364 94.3866195678711 0.19886861741542816 3.829219102859497 0.600122543334961
-99 2018 31 -4.002152099609361 -6.442886962890611 -1.4840856933593614 93.31526184082031 0.37534523010253906 4.167346477508545 1.4749771728515624
-99 2018 32 -0.029648437499986358 -0.9460913085937364 1.3364099121093886 94.57748413085938 10.600862503051758 6.377712249755859 0.403297297668457
-99 2018 33 1.0448144531250136 0.26795898437501364 1.6980432128906386 97.39637756347656 2.181246519088745 2.2118630409240723 0.7541836303710937
-99 2018 34 -2.9468847656249864 -8.132645263671861 0.17564331054688864 93.01874542236328 0.8428899645805359 3.8145503997802734 0.9685192016601563
-99 2018 35 -8.728500976562486 -9.936112060546861 -7.683945312499986 90.46903991699219 0.03730134665966034 4.381612300872803 3.1394810302734375
-99 2018 36 -7.734573974609361 -9.600540771484361 -4.991837158203111 85.30393981933594 0.004215999040752649 4.802028656005859 3.2866877197265625
-99 2018 37 -8.305191650390611 -9.513107910156236 -7.290390624999986 88.27024841308594 0.5765026211738586 3.5176024436950684 0.9675837432861327
-99 2018 38 -5.440201416015611 -7.396195068359361 -3.1580664062499864 87.57573699951172 0.8575262427330017 2.1813199520111084 1.1729696319580079
-99 2018 39 -1.5962683105468614 -4.260361328124986 0.16944824218751364 92.51094055175781 0.7079631090164185 3.640036106109619 1.6441579467773437
